	0	1	2	3	4	5	6	7	8	9
Dr_1140587809775566_round3_Dr.-Mundo_06-08-2021.mp4_31_1.jpg	Malphite	Alistar	KaiSa	Lucian	Nasus	Draven	Varus	Renekton	Xayah	Graves
Annie_4448886761788772_round5_Varus_05-04-2021.mp4_29_6.jpg	Twisted_Fate	Ziggs	Annie	Vi	Alistar	Renekton	Xayah	Lucian	Malphite	Graves
Jinx_gDmCWkbu_94_round15_Lux_05-20-2021.mp4_8_3.jpg	Janna	Rammus	Amumu	Jinx	Leona	Yasuo	Diana	Evelynn	Tryndamere	Riven
Garen_7KOuGlmIhbk_round26_Vi_06-07-2021.mp4_19_1.jpg	Xayah	Jinx	Blitzcrank	Garen	Nunu	Ahri	Yasuo	Kennen	Vi	Xin_Zhao
Lee_7KOuGlmIhbk_round22_Fiora_06-07-2021.mp4_13_1.jpg	Ziggs	Soraka	Malphite	Nunu	Braum	Lee_Sin	Xin_Zhao	Rengar	Vi	Corki
Amumu_394136318582151_round1_Shyvana_06-15-2021.mp4_33_3.jpg	Amumu	Evelynn	Dr._Mundo	Tryndamere	Galio	Malphite	Yasuo	Diana	Riven	Tristana
Darius_1115082439004174_round1_Darius_05-19-2021.mp4_43_1.jpg	Alistar	Lucian	Akali	Malphite	Jarvan_IV	Xayah	Olaf	Dr._Mundo	Twisted_Fate	Yasuo
Katarina_167856652018987_round3_Annie_06-10-2021.mp4_15_1.jpg	Xayah	KaiSa	Lucian	Caitlyn	Alistar	Malphite	Katarina	Renekton	Vi	Graves
Leona_278220660753197_round2_Olaf_06-02-2021.mp4_10_2.jpg	Leona	Jinx	Xin_Zhao	Yasuo	Vi	Graves	Diana	Renekton	Zed	Singed
Darius_496418424743603_round1_Shyvana_06-02-2021.mp4_63_1.jpg	Varus	Xayah	Caitlyn	Morgana	Darius	Jhin	Lucian	Renekton	Twisted_Fate	Graves
Jinx_4161501510579966_round2_Fiora_06-10-2021.mp4_23_1.jpg	Xin_Zhao	Kennen	Ahri	Yasuo	Morgana	Orianna	Renekton	Evelynn	Xayah	Vi
Darius_334050191468168_round4_Tryndamere_05-20-2021.mp4_111_1.jpg	Zed	Varus	Malphite	Graves	Xayah	Alistar	Vi	Nasus	Renekton	Lucian
Ahri_278220660753197_round6_Ahri_06-02-2021.mp4_10_2.jpg	Varus	Morgana	Jhin	Ahri	Caitlyn	Alistar	Twisted_Fate	Graves	Lucian	Xayah
Darius_332582944955929_round2_Darius_05-22-2021.mp4_11_1.jpg	Darius	Caitlyn	Morgana	Graves	Jhin	Varus	Xayah	Renekton	Lucian	Twisted_Fate
KaiSa_7KOuGlmIhbk_round26_Vi_06-07-2021.mp4_116_1.jpg	Alistar	Katarina	Varus	Xayah	Malphite	KaiSa	Nasus	Yasuo	Thresh	Vi
Dr_1140587809775566_round3_Dr.-Mundo_06-08-2021.mp4_10_1.jpg	Alistar	Malphite	KaiSa	KhaZix	Nasus	Renekton	Xayah	Varus	Graves	Lucian
Ezreal_-c47DWO9iuQ_round1_Ezreal_05-27-2021.mp4_57_1.jpg	Tristana	KaiSa	Vi	Xayah	Ezreal	Morgana	Jax	Shyvana	Rengar	Singed
Jinx_1378226675865613_round3_Fiora_04-23-2021.mp4_38_1.jpg	Jinx	Evelynn	Morgana	Diana	Yasuo	Orianna	Tryndamere	Tristana	Nami	Vi
Blitzcrank_497195698160265_round5_Amumu_06-05-2021.mp4_114_2.jpg	Jhin	Xayah	Ahri	Morgana	Blitzcrank	Singed	Xin_Zhao	Renekton	Orianna	Vi
Darius_1115082439004174_round3_Darius_05-19-2021.mp4_10_1.jpg	Jhin	Morgana	Caitlyn	Darius	Varus	Twisted_Fate	Renekton	Lucian	Xayah	Graves
Miss_232154245077306_round3_Lee-Sin_06-14-2021.mp4_24_1.jpg	Miss_Fortune	Morgana	Orianna	Xayah	Twisted_Fate	Caitlyn	Graves	Renekton	Lucian	Darius
Lux_1398331007194492_round1_Master-Yi_04-26-2021.mp4_1_1.jpg	Master_Yi	Janna	Jinx	Lux	Ashe	Leona	Rakan	Camille	Galio	Soraka
Camille_9Aa4KRvaLFA_round5_Ziggs_05-19-2021.mp4_53_0.jpg	Singed	Jax	Tristana	Xayah	Nasus	Xin_Zhao	Alistar	Rengar	Vi	Varus
Alistar_123853103101643_round4_Alistar_06-05-2021.mp4_11_1.jpg	Xayah	Malphite	Jax	Lucian	Alistar	Twisted_Fate	KaiSa	Vi	Graves	Varus
Akali_9Aa4KRvaLFA_round3_Fizz_05-19-2021.mp4_82_1.jpg	Malphite	Caitlyn	Akali	Xayah	Graves	Vi	Renekton	Lucian	Twisted_Fate	Alistar
Jarvan_497195698160265_round6_Shyvana_06-05-2021.mp4_121_5.jpg	Lucian	Xayah	Morgana	KhaZix	Caitlyn	Twisted_Fate	Alistar	Jhin	Renekton	Graves
Janna_1378226675865613_round6_Janna_04-23-2021.mp4_10_2.jpg	Vi	Singed	Tristana	Xin_Zhao	Blitzcrank	Ezreal	Camille	Thresh	Ashe	Rengar
Katarina_167856652018987_round3_Annie_06-10-2021.mp4_18_7.jpg	Malphite	Xayah	Caitlyn	Lucian	KaiSa	Vi	Alistar	Katarina	Renekton	Graves
Jhin_784269805810123_round2_Jhin_05-19-2021.mp4_24_1.jpg	Xayah	Varus	Ahri	Morgana	Caitlyn	KaiSa	Jhin	Alistar	Twisted_Fate	Lucian
Akali_817200292250990_round13_Twisted-Fate_05-24-2021.mp4_9_1.jpg	Akali	KaiSa	Twisted_Fate	Lucian	Graves	Malphite	Xayah	Caitlyn	Renekton	Alistar
Jinx_630613568339321_round1_Dr.-Mundo_06-04-2021.mp4_66_2.jpg	Nami	Evelynn	Diana	Jinx	Tristana	Amumu	Vi	Janna	Yasuo	Tryndamere
Ezreal_-c47DWO9iuQ_round1_Ezreal_05-27-2021.mp4_10_2.jpg	Ezreal	Xayah	Vi	Singed	Renekton	Alistar	Rengar	Tristana	Shyvana	Jax
Jinx_3165192393581135_round2_Orianna_04-20-2021.mp4_25_2.jpg	Jinx	Evelynn	Morgana	Diana	Vi	Nami	Yasuo	Tryndamere	Tristana	Orianna
Jinx_630613568339321_round1_Dr.-Mundo_06-04-2021.mp4_65_1.jpg	Thresh	Evelynn	Janna	Jinx	Amumu	Dr._Mundo	Nami	Tryndamere	Yasuo	Diana
Garen_7KOuGlmIhbk_round26_Vi_06-07-2021.mp4_31_1.jpg	Xayah	Jinx	Ahri	Kennen	Vi	Evelynn	Xin_Zhao	Yasuo	Blitzcrank	Garen
Jinx_1447615885600445_round7_Nami_06-04-2021.mp4_36_2.jpg	Janna	Amumu	Lulu	Riven	Dr._Mundo	Vi	Galio	Xin_Zhao	Tryndamere	Yasuo
Jarvan_920174251860258_round6_Jhin_05-22-2021.mp4_44_1.jpg	Lucian	Caitlyn	Alistar	Jarvan_IV	Jhin	Morgana	Twisted_Fate	Renekton	Xayah	Graves
Jarvan_920174251860258_round6_Jhin_05-22-2021.mp4_37_2.jpg	Lucian	Xayah	Jhin	Katarina	Jarvan_IV	Alistar	Caitlyn	Renekton	Graves	Twisted_Fate
Akali_9Aa4KRvaLFA_round4_Lee-Sin_05-19-2021.mp4_39_1.jpg	Malphite	KaiSa	Renekton	Graves	Xayah	Akali	Twisted_Fate	Alistar	Lucian	Vi
Darius_826771964607740_round6_Ziggs_06-02-2021.mp4_89_0.jpg	Twisted_Fate	Graves	Jhin	Darius	Lucian	Alistar	KaiSa	Renekton	Varus	Xayah
Lulu_188828656421928_round1_Kai'Sa_05-19-2021.mp4_10_1.jpg	Lulu	Morgana	Ahri	Xayah	Jhin	Darius	Vi	Yasuo	Thresh	Nami
Jax_3894451770602604_round2_Janna_04-27-2021.mp4_62_2.jpg	Varus	Xayah	Tristana	Vi	Nasus	KaiSa	Alistar	Thresh	Rengar	Jax
Akali_9Aa4KRvaLFA_round3_Fizz_05-19-2021.mp4_66_1.jpg	Akali	Lucian	KaiSa	Malphite	Alistar	Caitlyn	Twisted_Fate	Graves	Renekton	Xayah
Ahri_278220660753197_round6_Ahri_06-02-2021.mp4_38_3.jpg	Lucian	Varus	Morgana	Jhin	Ahri	KaiSa	Twisted_Fate	Orianna	Graves	Xayah
Miss_232154245077306_round1_Lee-Sin_06-14-2021.mp4_23_6.jpg	Miss_Fortune	Dr._Mundo	Morgana	Xayah	Alistar	Malphite	Lucian	Twisted_Fate	Graves	Renekton
Fizz_20zGr1wVrzM_round2_Ezreal_05-27-2021_new.mp4_75_4.jpg	Camille	Yasuo	Varus	Evelynn	Rakan	Corki	Tristana	Tryndamere	Singed	Diana
Jinx_142330807963265_round5_Vayne_06-14-2021.mp4_153_6.jpg	Thresh	Braum	Varus	Xayah	Yasuo	Diana	Dr._Mundo	Amumu	Malphite	Zed
Corki_475049016880496_round5_Ahri_04-20-2021.mp4_34_1.jpg	Gragas	Olaf	Akali	Malphite	Alistar	Dr._Mundo	Xayah	Twisted_Fate	Vi	Yasuo
Akali_9Aa4KRvaLFA_round3_Fizz_05-19-2021.mp4_50_1.jpg	Lucian	Malphite	Caitlyn	Graves	Alistar	Akali	Renekton	Xayah	Twisted_Fate	Olaf
Evelynn_9Aa4KRvaLFA_round1_Tryndamere_05-19-2021.mp4_18_0.jpg	Dr._Mundo	Alistar	Malphite	Jax	Vi	Graves	Xayah	Varus	Yasuo	Lucian
Gragas_7sPb6vbP67U_round6_Lux_06-05-2021.mp4_28_2.jpg	Gragas	Malphite	Vi	Graves	Zed	Katarina	Xayah	Renekton	Twisted_Fate	Lucian
Kennen_142330807963265_round5_Vayne_06-14-2021.mp4_25_0.jpg	Alistar	Orianna	Jax	Kennen	Tristana	Varus	Singed	Xin_Zhao	Vi	Xayah
Ashe_216130339881960_round4_Ashe_04-26-2021.mp4_24_1.jpg	Soraka	Camille	Xin_Zhao	Vayne	Thresh	Galio	Janna	Rakan	Ashe	Nunu
Akali_496418424743603_round3_Vayne_06-02-2021.mp4_81_2.jpg	Akali	Lucian	Caitlyn	Xayah	Twisted_Fate	Renekton	Malphite	Alistar	Olaf	Graves
Graves_1398331007194492_round4_Jarvan-IV_04-26-2021.mp4_38_6.jpg	Jarvan_IV	Vi	Graves	Renekton	Lucian	Caitlyn	Xayah	Malphite	Twisted_Fate	Alistar
Diana_-c47DWO9iuQ_round1_Ezreal_05-27-2021.mp4_112_2.jpg	Malphite	Evelynn	Yasuo	Diana	Singed	Tryndamere	Tristana	Dr._Mundo	Gragas	Zed
Dr_630613568339321_round1_Dr.-Mundo_06-04-2021.mp4_32_3.jpg	Graves	Alistar	Lucian	KaiSa	Malphite	Varus	Draven	Jhin	Renekton	Xayah
Corki_eYYaXcjRjQo_round30_Camille_05-19-2021.mp4_10_1.jpg	Ziggs	Yasuo	Corki	Varus	Annie	Braum	Vi	Zed	Dr._Mundo	Malphite
Camille_9Aa4KRvaLFA_round5_Ziggs_05-19-2021.mp4_74_1.jpg	Camille	Singed	Evelynn	Tristana	Tryndamere	Jax	Vi	Rengar	Diana	Xin_Zhao
Jhin_784269805810123_round2_Jhin_05-19-2021.mp4_29_1.jpg	Xayah	Varus	Morgana	KaiSa	Caitlyn	Jhin	Alistar	Twisted_Fate	Ahri	Lucian
Amumu_142330807963265_round2_Amumu_06-14-2021.mp4_24_0.jpg	Blitzcrank	Tristana	Rengar	Jax	Alistar	Aurelion_Sol	Xin_Zhao	Vi	Varus	Singed
Lulu_278220660753197_round6_Ahri_06-02-2021.mp4_3_4.jpg	Lulu	Morgana	Darius	Vi	KaiSa	Jhin	Yasuo	Xayah	Thresh	Ahri
KaiSa_9Aa4KRvaLFA_round1_Tryndamere_05-19-2021.mp4_91_1.jpg	Morgana	Lucian	Caitlyn	Xayah	Vi	KaiSa	Varus	Renekton	Graves	Alistar
Lux_224178806188439_round1_Shyvana_06-12-2021.mp4_4_4.jpg	Vi	Janna	Lux	Blitzcrank	Jinx	Teemo	Xin_Zhao	Camille	Leona	Soraka
