	0	1	2	3	4	5	6
Lulu_188828656421928_round1_Kai'Sa_05-19-2021.mp4_10_1.jpg	Ahri	Morgana	Lulu	Thresh	Yasuo	Vi	Xayah
Jax_3894451770602604_round2_Janna_04-27-2021.mp4_62_2.jpg	Xayah	Varus	Nasus	KaiSa	Alistar	Thresh	Rengar
Akali_9Aa4KRvaLFA_round3_Fizz_05-19-2021.mp4_66_1.jpg	Lucian	Malphite	Twisted_Fate	Graves	Akali	Renekton	Xayah
Ahri_278220660753197_round6_Ahri_06-02-2021.mp4_38_3.jpg	Jhin	Ahri	Orianna	Lucian	Graves	Xayah	Morgana
Miss_232154245077306_round1_Lee-Sin_06-14-2021.mp4_23_6.jpg	Morgana	Miss_Fortune	Renekton	Graves	Twisted_Fate	Lucian	Xayah
Fizz_20zGr1wVrzM_round2_Ezreal_05-27-2021_new.mp4_75_4.jpg	Yasuo	Evelynn	Rakan	Tristana	Tryndamere	Singed	Diana
Jinx_142330807963265_round5_Vayne_06-14-2021.mp4_153_6.jpg	Braum	Zed	Malphite	Amumu	Dr._Mundo	Varus	Yasuo
Corki_475049016880496_round5_Ahri_04-20-2021.mp4_34_1.jpg	Akali	Gragas	Yasuo	Vi	Twisted_Fate	Xayah	Malphite
Akali_9Aa4KRvaLFA_round3_Fizz_05-19-2021.mp4_50_1.jpg	Malphite	Graves	Alistar	Akali	Renekton	Lucian	Xayah
Evelynn_9Aa4KRvaLFA_round1_Tryndamere_05-19-2021.mp4_18_0.jpg	Dr._Mundo	Malphite	Graves	Alistar	Xayah	Varus	Yasuo
Gragas_7sPb6vbP67U_round6_Lux_06-05-2021.mp4_28_2.jpg	Vi	Malphite	Gragas	Twisted_Fate	Renekton	Xayah	Graves
Kennen_142330807963265_round5_Vayne_06-14-2021.mp4_25_0.jpg	Orianna	Jax	Kennen	Xin_Zhao	Vi	Alistar	Xayah
Ashe_216130339881960_round4_Ashe_04-26-2021.mp4_24_1.jpg	Vayne	Janna	Rakan	Ashe	Camille	Nunu	Soraka
Akali_496418424743603_round3_Vayne_06-02-2021.mp4_81_2.jpg	Akali	Graves	Olaf	Alistar	Malphite	Xayah	Lucian
Graves_1398331007194492_round4_Jarvan-IV_04-26-2021.mp4_38_6.jpg	Jarvan_IV	Twisted_Fate	Vi	Malphite	Xayah	Graves	Lucian
Diana_-c47DWO9iuQ_round1_Ezreal_05-27-2021.mp4_112_2.jpg	Diana	Dr._Mundo	Malphite	Gragas	Yasuo	Evelynn	Zed
Dr_630613568339321_round1_Dr.-Mundo_06-04-2021.mp4_32_3.jpg	Lucian	KaiSa	Malphite	Renekton	Alistar	Xayah	Graves
Corki_eYYaXcjRjQo_round30_Camille_05-19-2021.mp4_10_1.jpg	Yasuo	Corki	Varus	Zed	Dr._Mundo	Ziggs	Malphite
Camille_9Aa4KRvaLFA_round5_Ziggs_05-19-2021.mp4_74_1.jpg	Singed	Camille	Diana	Evelynn	Rengar	Vi	Tristana
Jhin_784269805810123_round2_Jhin_05-19-2021.mp4_29_1.jpg	Morgana	KaiSa	Caitlyn	Jhin	Ahri	Lucian	Xayah
Amumu_142330807963265_round2_Amumu_06-14-2021.mp4_24_0.jpg	Tristana	Rengar	Jax	Vi	Varus	Blitzcrank	Singed
Lulu_278220660753197_round6_Ahri_06-02-2021.mp4_3_4.jpg	Morgana	Lulu	Ahri	Thresh	Xayah	Yasuo	Vi
KaiSa_9Aa4KRvaLFA_round1_Tryndamere_05-19-2021.mp4_91_1.jpg	Lucian	Caitlyn	Xayah	Vi	KaiSa	Graves	Alistar
Lux_224178806188439_round1_Shyvana_06-12-2021.mp4_4_4.jpg	Lux	Blitzcrank	Jinx	Camille	Leona	Janna	Soraka
