	0	1	2	3	4	5
Graves_1398331007194492_round4_Jarvan-IV_04-26-2021.mp4_10_0.jpg	Vi	Jarvan_IV	Graves	Lucian	Xayah	Malphite
Jinx_1398331007194492_round1_Master-Yi_04-26-2021.mp4_28_0.jpg	Janna	Jinx	Master_Yi	Corki	Evelynn	Diana
Akali_9Aa4KRvaLFA_round3_Fizz_05-19-2021.mp4_48_1.jpg	Caitlyn	Twisted_Fate	Graves	Lucian	Renekton	Xayah
Dr_1140587809775566_round3_Dr.-Mundo_06-08-2021.mp4_31_1.jpg	Malphite	Alistar	KaiSa	Lucian	Xayah	Graves
Annie_4448886761788772_round5_Varus_05-04-2021.mp4_29_6.jpg	Annie	Malphite	Vi	Alistar	Renekton	Xayah
Jinx_gDmCWkbu_94_round15_Lux_05-20-2021.mp4_8_3.jpg	Amumu	Leona	Evelynn	Rammus	Tryndamere	Riven
Garen_7KOuGlmIhbk_round26_Vi_06-07-2021.mp4_19_1.jpg	Blitzcrank	Garen	Xayah	Kennen	Vi	Xin_Zhao
Lee_7KOuGlmIhbk_round22_Fiora_06-07-2021.mp4_13_1.jpg	Soraka	Nunu	Lee_Sin	Vi	Ziggs	Corki
Amumu_394136318582151_round1_Shyvana_06-15-2021.mp4_33_3.jpg	Evelynn	Amumu	Diana	Dr._Mundo	Yasuo	Tryndamere
Darius_1115082439004174_round1_Darius_05-19-2021.mp4_43_1.jpg	Akali	Malphite	Lucian	Alistar	Twisted_Fate	Yasuo
Katarina_167856652018987_round3_Annie_06-10-2021.mp4_15_1.jpg	Lucian	Caitlyn	Alistar	Katarina	Graves	Xayah
Leona_278220660753197_round2_Olaf_06-02-2021.mp4_10_2.jpg	Jinx	Leona	Renekton	Diana	Xin_Zhao	Vi
Darius_496418424743603_round1_Shyvana_06-02-2021.mp4_63_1.jpg	Xayah	Morgana	Darius	Twisted_Fate	Varus	Graves
Jinx_4161501510579966_round2_Fiora_06-10-2021.mp4_23_1.jpg	Yasuo	Xin_Zhao	Kennen	Evelynn	Xayah	Vi
Darius_334050191468168_round4_Tryndamere_05-20-2021.mp4_111_1.jpg	Varus	Zed	Nasus	Vi	Malphite	Xayah
Ahri_278220660753197_round6_Ahri_06-02-2021.mp4_10_2.jpg	Jhin	Ahri	Graves	Lucian	Xayah	Morgana
Darius_332582944955929_round2_Darius_05-22-2021.mp4_11_1.jpg	Morgana	Darius	Lucian	Renekton	Xayah	Graves
KaiSa_7KOuGlmIhbk_round26_Vi_06-07-2021.mp4_116_1.jpg	Varus	Xayah	KaiSa	Alistar	Thresh	Vi
Dr_1140587809775566_round3_Dr.-Mundo_06-08-2021.mp4_10_1.jpg	KaiSa	Xayah	Varus	Alistar	Graves	Lucian
Ezreal_-c47DWO9iuQ_round1_Ezreal_05-27-2021.mp4_57_1.jpg	Vi	Xayah	Shyvana	Tristana	Rengar	Singed
Jinx_1378226675865613_round3_Fiora_04-23-2021.mp4_38_1.jpg	Jinx	Tristana	Tryndamere	Evelynn	Yasuo	Diana
Blitzcrank_497195698160265_round5_Amumu_06-05-2021.mp4_114_2.jpg	Xayah	Ahri	Morgana	Blitzcrank	Orianna	Vi
Darius_1115082439004174_round3_Darius_05-19-2021.mp4_10_1.jpg	Darius	Renekton	Morgana	Lucian	Xayah	Graves
Miss_232154245077306_round3_Lee-Sin_06-14-2021.mp4_24_1.jpg	Morgana	Miss_Fortune	Lucian	Renekton	Graves	Xayah
Lux_1398331007194492_round1_Master-Yi_04-26-2021.mp4_1_1.jpg	Master_Yi	Janna	Jinx	Lux	Galio	Soraka
Camille_9Aa4KRvaLFA_round5_Ziggs_05-19-2021.mp4_53_0.jpg	Tristana	Singed	Jax	Alistar	Rengar	Vi
Alistar_123853103101643_round4_Alistar_06-05-2021.mp4_11_1.jpg	Malphite	Jax	Lucian	Alistar	Xayah	Varus
Akali_9Aa4KRvaLFA_round3_Fizz_05-19-2021.mp4_82_1.jpg	Malphite	Twisted_Fate	Lucian	Renekton	Xayah	Akali
Jarvan_497195698160265_round6_Shyvana_06-05-2021.mp4_121_5.jpg	Xayah	Morgana	Caitlyn	Renekton	Graves	Lucian
Janna_1378226675865613_round6_Janna_04-23-2021.mp4_10_2.jpg	Singed	Tristana	Xin_Zhao	Blitzcrank	Ezreal	Rengar
Katarina_167856652018987_round3_Annie_06-10-2021.mp4_18_7.jpg	Lucian	KaiSa	Alistar	Katarina	Graves	Xayah
Jhin_784269805810123_round2_Jhin_05-19-2021.mp4_24_1.jpg	Morgana	Caitlyn	KaiSa	Jhin	Ahri	Xayah
Akali_817200292250990_round13_Twisted-Fate_05-24-2021.mp4_9_1.jpg	KaiSa	Akali	Renekton	Caitlyn	Xayah	Lucian
Jinx_630613568339321_round1_Dr.-Mundo_06-04-2021.mp4_66_2.jpg	Evelynn	Diana	Jinx	Janna	Yasuo	Tryndamere
Ezreal_-c47DWO9iuQ_round1_Ezreal_05-27-2021.mp4_10_2.jpg	Vi	Xayah	Ezreal	Tristana	Rengar	Singed
Jinx_3165192393581135_round2_Orianna_04-20-2021.mp4_25_2.jpg	Jinx	Tristana	Tryndamere	Evelynn	Yasuo	Diana
Jinx_630613568339321_round1_Dr.-Mundo_06-04-2021.mp4_65_1.jpg	Janna	Jinx	Tryndamere	Yasuo	Evelynn	Diana
Garen_7KOuGlmIhbk_round26_Vi_06-07-2021.mp4_31_1.jpg	Garen	Blitzcrank	Yasuo	Xin_Zhao	Ahri	Vi
Jinx_1447615885600445_round7_Nami_06-04-2021.mp4_36_2.jpg	Riven	Galio	Xin_Zhao	Tryndamere	Amumu	Yasuo
Jarvan_920174251860258_round6_Jhin_05-22-2021.mp4_44_1.jpg	Caitlyn	Alistar	Jarvan_IV	Xayah	Graves	Lucian
Jarvan_920174251860258_round6_Jhin_05-22-2021.mp4_37_2.jpg	Xayah	Alistar	Caitlyn	Renekton	Lucian	Graves
Akali_9Aa4KRvaLFA_round4_Lee-Sin_05-19-2021.mp4_39_1.jpg	Malphite	Lucian	Alistar	Twisted_Fate	Renekton	Xayah
Darius_826771964607740_round6_Ziggs_06-02-2021.mp4_89_0.jpg	Graves	Darius	Renekton	Twisted_Fate	Varus	Xayah
Lulu_188828656421928_round1_Kai'Sa_05-19-2021.mp4_10_1.jpg	Ahri	Morgana	Lulu	Yasuo	Vi	Xayah
Jax_3894451770602604_round2_Janna_04-27-2021.mp4_62_2.jpg	Xayah	Varus	KaiSa	Alistar	Thresh	Rengar
Akali_9Aa4KRvaLFA_round3_Fizz_05-19-2021.mp4_66_1.jpg	Lucian	Malphite	Graves	Akali	Renekton	Xayah
Ahri_278220660753197_round6_Ahri_06-02-2021.mp4_38_3.jpg	Jhin	Ahri	Lucian	Graves	Xayah	Morgana
Miss_232154245077306_round1_Lee-Sin_06-14-2021.mp4_23_6.jpg	Miss_Fortune	Renekton	Graves	Twisted_Fate	Lucian	Xayah
Fizz_20zGr1wVrzM_round2_Ezreal_05-27-2021_new.mp4_75_4.jpg	Evelynn	Rakan	Tryndamere	Singed	Yasuo	Diana
Jinx_142330807963265_round5_Vayne_06-14-2021.mp4_153_6.jpg	Braum	Malphite	Amumu	Dr._Mundo	Varus	Yasuo
Corki_475049016880496_round5_Ahri_04-20-2021.mp4_34_1.jpg	Akali	Gragas	Vi	Twisted_Fate	Xayah	Malphite
Akali_9Aa4KRvaLFA_round3_Fizz_05-19-2021.mp4_50_1.jpg	Malphite	Alistar	Akali	Renekton	Lucian	Xayah
Evelynn_9Aa4KRvaLFA_round1_Tryndamere_05-19-2021.mp4_18_0.jpg	Dr._Mundo	Malphite	Alistar	Xayah	Varus	Yasuo
Gragas_7sPb6vbP67U_round6_Lux_06-05-2021.mp4_28_2.jpg	Vi	Malphite	Gragas	Renekton	Xayah	Graves
Kennen_142330807963265_round5_Vayne_06-14-2021.mp4_25_0.jpg	Orianna	Jax	Kennen	Vi	Alistar	Xayah
Ashe_216130339881960_round4_Ashe_04-26-2021.mp4_24_1.jpg	Vayne	Rakan	Ashe	Camille	Nunu	Soraka
Akali_496418424743603_round3_Vayne_06-02-2021.mp4_81_2.jpg	Akali	Olaf	Alistar	Malphite	Xayah	Lucian
Graves_1398331007194492_round4_Jarvan-IV_04-26-2021.mp4_38_6.jpg	Jarvan_IV	Vi	Malphite	Xayah	Graves	Lucian
Diana_-c47DWO9iuQ_round1_Ezreal_05-27-2021.mp4_112_2.jpg	Diana	Malphite	Gragas	Yasuo	Evelynn	Zed
Dr_630613568339321_round1_Dr.-Mundo_06-04-2021.mp4_32_3.jpg	Lucian	KaiSa	Renekton	Alistar	Xayah	Graves
Corki_eYYaXcjRjQo_round30_Camille_05-19-2021.mp4_10_1.jpg	Yasuo	Corki	Varus	Dr._Mundo	Ziggs	Malphite
Camille_9Aa4KRvaLFA_round5_Ziggs_05-19-2021.mp4_74_1.jpg	Singed	Camille	Evelynn	Rengar	Vi	Tristana
Jhin_784269805810123_round2_Jhin_05-19-2021.mp4_29_1.jpg	Morgana	Caitlyn	Jhin	Ahri	Lucian	Xayah
Amumu_142330807963265_round2_Amumu_06-14-2021.mp4_24_0.jpg	Rengar	Jax	Varus	Blitzcrank	Singed	Tristana
Lulu_278220660753197_round6_Ahri_06-02-2021.mp4_3_4.jpg	Morgana	Lulu	Thresh	Xayah	Yasuo	Vi
KaiSa_9Aa4KRvaLFA_round1_Tryndamere_05-19-2021.mp4_91_1.jpg	Lucian	Caitlyn	Xayah	Vi	KaiSa	Alistar
Lux_224178806188439_round1_Shyvana_06-12-2021.mp4_4_4.jpg	Blitzcrank	Camille	Leona	Janna	Lux	Soraka
