	0	1	2	3	4	5	6	7
Jarvan_920174251860258_round6_Jhin_05-22-2021.mp4_36_1.jpg	Caitlyn	Morgana	Jarvan_IV	Twisted_Fate	Renekton	Xayah	Graves	Lucian
Jinx_216130339881960_round5_Sona_04-26-2021.mp4_34_1.jpg	Diana	Janna	Jinx	Evelynn	Galio	Riven	Yasuo	Tryndamere
Jarvan_188828656421928_round1_Kai'Sa_05-19-2021.mp4_36_1.jpg	Lucian	Katarina	Xayah	Alistar	Jarvan_IV	Twisted_Fate	Malphite	Graves
Katarina_167856652018987_round3_Annie_06-10-2021.mp4_10_1.jpg	Vi	Xayah	KaiSa	Alistar	Lucian	Katarina	Graves	Malphite
Amumu_142330807963265_round2_Amumu_06-14-2021.mp4_85_3.jpg	Evelynn	Amumu	Malphite	Riven	Dr._Mundo	Diana	Yasuo	Tryndamere
Jinx_182388960412791_round6_Jinx_05-04-2021.mp4_11_2.jpg	Jinx	Tryndamere	Tristana	Orianna	Morgana	Evelynn	Yasuo	Diana
Darius_1115082439004174_round1_Darius_05-19-2021.mp4_45_1.jpg	KaiSa	Darius	Vi	Alistar	Renekton	Jhin	Graves	Xayah
Akali_JEpZIpnC-LM_round6_Akali_05-22-2021.mp4_10_1.jpg	Lucian	Olaf	Malphite	KaiSa	Akali	Graves	Alistar	Xayah
Blitzcrank_496418424743603_round1_Shyvana_06-02-2021.mp4_194_3.jpg	Renekton	Diana	Vi	Singed	Xayah	Orianna	Xin_Zhao	Blitzcrank
Ashe_231705051716794_round3_Ashe_06-07-2021.mp4_26_2.jpg	Vi	Jax	Nasus	Tristana	Thresh	Alistar	Varus	Rengar
Annie_2996176217280056_round1_Akali_06-11-2021.mp4_110_3.jpg	Ziggs	Annie	Twisted_Fate	Katarina	Renekton	Vi	Xayah	Malphite
Garen_7KOuGlmIhbk_round26_Vi_06-07-2021.mp4_32_1.jpg	Blitzcrank	Garen	Ahri	Xayah	Yasuo	Kennen	Xin_Zhao	Vi
Fiora_1378226675865613_round3_Fiora_04-23-2021.mp4_25_1.jpg	Nasus	Xayah	Malphite	Tristana	Alistar	Rengar	Vayne	Nunu
Jinx_630613568339321_round1_Dr.-Mundo_06-04-2021.mp4_57_2.jpg	Evelynn	Diana	Jinx	Riven	Amumu	Yasuo	Janna	Tryndamere
Fiora_1378226675865613_round3_Fiora_04-23-2021.mp4_23_3.jpg	Vayne	Garen	Vi	Blitzcrank	Kennen	Xin_Zhao	Nunu	Rengar
Darius_490569228738448_round8_Braum_04-20-2021.mp4_35_1.jpg	Graves	Varus	Jhin	Morgana	Darius	Twisted_Fate	Lucian	Xayah
Evelynn_9Aa4KRvaLFA_round1_Tryndamere_05-19-2021.mp4_37_0.jpg	Diana	Jax	Lucian	Evelynn	Vi	Varus	Graves	Yasuo
Jinx_570649517229749_round3_Braum_04-22-2021.mp4_37_3.jpg	KaiSa	Lulu	Ahri	Morgana	Thresh	Xayah	Yasuo	Vi
Graves_1398331007194492_round4_Jarvan-IV_04-26-2021.mp4_10_0.jpg	Alistar	Vi	Jarvan_IV	Twisted_Fate	Graves	Lucian	Xayah	Malphite
Jinx_1398331007194492_round1_Master-Yi_04-26-2021.mp4_28_0.jpg	Corki	Janna	Jinx	Master_Yi	Yasuo	Singed	Evelynn	Diana
Akali_9Aa4KRvaLFA_round3_Fizz_05-19-2021.mp4_48_1.jpg	Akali	Caitlyn	Malphite	Twisted_Fate	Graves	Lucian	Renekton	Xayah
Dr_1140587809775566_round3_Dr.-Mundo_06-08-2021.mp4_31_1.jpg	Malphite	Alistar	KaiSa	Lucian	Varus	Renekton	Xayah	Graves
Annie_4448886761788772_round5_Varus_05-04-2021.mp4_29_6.jpg	Ziggs	Annie	Twisted_Fate	Malphite	Vi	Alistar	Renekton	Xayah
Jinx_gDmCWkbu_94_round15_Lux_05-20-2021.mp4_8_3.jpg	Rammus	Amumu	Jinx	Leona	Janna	Evelynn	Tryndamere	Riven
Garen_7KOuGlmIhbk_round26_Vi_06-07-2021.mp4_19_1.jpg	Blitzcrank	Garen	Ahri	Yasuo	Xayah	Kennen	Vi	Xin_Zhao
Lee_7KOuGlmIhbk_round22_Fiora_06-07-2021.mp4_13_1.jpg	Soraka	Malphite	Nunu	Braum	Lee_Sin	Vi	Ziggs	Corki
Amumu_394136318582151_round1_Shyvana_06-15-2021.mp4_33_3.jpg	Dr._Mundo	Evelynn	Amumu	Tristana	Riven	Diana	Yasuo	Tryndamere
Darius_1115082439004174_round1_Darius_05-19-2021.mp4_43_1.jpg	Lucian	Akali	Malphite	Olaf	Dr._Mundo	Alistar	Twisted_Fate	Yasuo
Katarina_167856652018987_round3_Annie_06-10-2021.mp4_15_1.jpg	Lucian	Caitlyn	Alistar	Malphite	Katarina	Vi	Graves	Xayah
Leona_278220660753197_round2_Olaf_06-02-2021.mp4_10_2.jpg	Jinx	Leona	Singed	Zed	Renekton	Diana	Xin_Zhao	Vi
Darius_496418424743603_round1_Shyvana_06-02-2021.mp4_63_1.jpg	Xayah	Morgana	Darius	Lucian	Renekton	Twisted_Fate	Varus	Graves
Jinx_4161501510579966_round2_Fiora_06-10-2021.mp4_23_1.jpg	Kennen	Ahri	Yasuo	Renekton	Xin_Zhao	Evelynn	Xayah	Vi
Darius_334050191468168_round4_Tryndamere_05-20-2021.mp4_111_1.jpg	Varus	Zed	Lucian	Renekton	Nasus	Vi	Malphite	Xayah
Ahri_278220660753197_round6_Ahri_06-02-2021.mp4_10_2.jpg	Varus	Morgana	Jhin	Ahri	Twisted_Fate	Graves	Lucian	Xayah
Darius_332582944955929_round2_Darius_05-22-2021.mp4_11_1.jpg	Morgana	Caitlyn	Darius	Twisted_Fate	Lucian	Renekton	Xayah	Graves
KaiSa_7KOuGlmIhbk_round26_Vi_06-07-2021.mp4_116_1.jpg	Varus	Xayah	Malphite	KaiSa	Yasuo	Alistar	Thresh	Vi
Dr_1140587809775566_round3_Dr.-Mundo_06-08-2021.mp4_10_1.jpg	Malphite	KaiSa	Renekton	Xayah	Varus	Alistar	Graves	Lucian
Ezreal_-c47DWO9iuQ_round1_Ezreal_05-27-2021.mp4_57_1.jpg	Tristana	Vi	Xayah	Morgana	Jax	Shyvana	Rengar	Singed
Jinx_1378226675865613_round3_Fiora_04-23-2021.mp4_38_1.jpg	Jinx	Vi	Nami	Tristana	Tryndamere	Evelynn	Yasuo	Diana
Blitzcrank_497195698160265_round5_Amumu_06-05-2021.mp4_114_2.jpg	Jhin	Xayah	Ahri	Morgana	Blitzcrank	Renekton	Orianna	Vi
Darius_1115082439004174_round3_Darius_05-19-2021.mp4_10_1.jpg	Caitlyn	Darius	Twisted_Fate	Renekton	Morgana	Lucian	Xayah	Graves
Miss_232154245077306_round3_Lee-Sin_06-14-2021.mp4_24_1.jpg	Orianna	Morgana	Miss_Fortune	Darius	Lucian	Renekton	Graves	Xayah
Lux_1398331007194492_round1_Master-Yi_04-26-2021.mp4_1_1.jpg	Master_Yi	Janna	Jinx	Lux	Rakan	Camille	Galio	Soraka
Camille_9Aa4KRvaLFA_round5_Ziggs_05-19-2021.mp4_53_0.jpg	Tristana	Singed	Jax	Nasus	Xin_Zhao	Alistar	Rengar	Vi
Alistar_123853103101643_round4_Alistar_06-05-2021.mp4_11_1.jpg	Malphite	Jax	Lucian	Alistar	Vi	Graves	Xayah	Varus
Akali_9Aa4KRvaLFA_round3_Fizz_05-19-2021.mp4_82_1.jpg	Akali	Caitlyn	Malphite	Alistar	Twisted_Fate	Lucian	Renekton	Xayah
Jarvan_497195698160265_round6_Shyvana_06-05-2021.mp4_121_5.jpg	Lucian	Xayah	Morgana	Caitlyn	Alistar	Jhin	Renekton	Graves
Janna_1378226675865613_round6_Janna_04-23-2021.mp4_10_2.jpg	Vi	Singed	Tristana	Xin_Zhao	Blitzcrank	Ezreal	Ashe	Rengar
Katarina_167856652018987_round3_Annie_06-10-2021.mp4_18_7.jpg	Xayah	Caitlyn	Lucian	KaiSa	Vi	Alistar	Katarina	Graves
Jhin_784269805810123_round2_Jhin_05-19-2021.mp4_24_1.jpg	Ahri	Morgana	Caitlyn	KaiSa	Jhin	Lucian	Varus	Xayah
Akali_817200292250990_round13_Twisted-Fate_05-24-2021.mp4_9_1.jpg	KaiSa	Akali	Graves	Alistar	Renekton	Caitlyn	Xayah	Lucian
Jinx_630613568339321_round1_Dr.-Mundo_06-04-2021.mp4_66_2.jpg	Evelynn	Diana	Jinx	Vi	Nami	Janna	Yasuo	Tryndamere
Ezreal_-c47DWO9iuQ_round1_Ezreal_05-27-2021.mp4_10_2.jpg	Vi	Xayah	Ezreal	Jax	Shyvana	Tristana	Rengar	Singed
Jinx_3165192393581135_round2_Orianna_04-20-2021.mp4_25_2.jpg	Evelynn	Jinx	Vi	Orianna	Tristana	Tryndamere	Yasuo	Diana
Jinx_630613568339321_round1_Dr.-Mundo_06-04-2021.mp4_65_1.jpg	Evelynn	Janna	Jinx	Dr._Mundo	Nami	Tryndamere	Yasuo	Diana
Garen_7KOuGlmIhbk_round26_Vi_06-07-2021.mp4_31_1.jpg	Xayah	Kennen	Garen	Blitzcrank	Yasuo	Xin_Zhao	Ahri	Vi
Jinx_1447615885600445_round7_Nami_06-04-2021.mp4_36_2.jpg	Amumu	Lulu	Riven	Vi	Galio	Xin_Zhao	Tryndamere	Yasuo
Jarvan_920174251860258_round6_Jhin_05-22-2021.mp4_44_1.jpg	Caitlyn	Alistar	Jarvan_IV	Twisted_Fate	Renekton	Xayah	Graves	Lucian
Jarvan_920174251860258_round6_Jhin_05-22-2021.mp4_37_2.jpg	Lucian	Xayah	Katarina	Jarvan_IV	Alistar	Caitlyn	Renekton	Graves
Akali_9Aa4KRvaLFA_round4_Lee-Sin_05-19-2021.mp4_39_1.jpg	KaiSa	Malphite	Vi	Lucian	Alistar	Twisted_Fate	Renekton	Xayah
Darius_826771964607740_round6_Ziggs_06-02-2021.mp4_89_0.jpg	Twisted_Fate	Graves	Jhin	Darius	KaiSa	Renekton	Varus	Xayah
Lulu_188828656421928_round1_Kai'Sa_05-19-2021.mp4_10_1.jpg	Ahri	Morgana	Lulu	Nami	Thresh	Yasuo	Vi	Xayah
Jax_3894451770602604_round2_Janna_04-27-2021.mp4_62_2.jpg	Xayah	Varus	Vi	Nasus	KaiSa	Alistar	Thresh	Rengar
Akali_9Aa4KRvaLFA_round3_Fizz_05-19-2021.mp4_66_1.jpg	Lucian	Malphite	Caitlyn	Twisted_Fate	Graves	Akali	Renekton	Xayah
Ahri_278220660753197_round6_Ahri_06-02-2021.mp4_38_3.jpg	Morgana	Jhin	Ahri	Varus	Orianna	Lucian	Graves	Xayah
Miss_232154245077306_round1_Lee-Sin_06-14-2021.mp4_23_6.jpg	Morgana	Dr._Mundo	Miss_Fortune	Renekton	Graves	Twisted_Fate	Lucian	Xayah
Fizz_20zGr1wVrzM_round2_Ezreal_05-27-2021_new.mp4_75_4.jpg	Yasuo	Varus	Evelynn	Rakan	Tristana	Tryndamere	Singed	Diana
Jinx_142330807963265_round5_Vayne_06-14-2021.mp4_153_6.jpg	Braum	Thresh	Zed	Malphite	Amumu	Dr._Mundo	Varus	Yasuo
Corki_475049016880496_round5_Ahri_04-20-2021.mp4_34_1.jpg	Akali	Olaf	Gragas	Yasuo	Vi	Twisted_Fate	Xayah	Malphite
Akali_9Aa4KRvaLFA_round3_Fizz_05-19-2021.mp4_50_1.jpg	Malphite	Caitlyn	Graves	Alistar	Akali	Renekton	Lucian	Xayah
Evelynn_9Aa4KRvaLFA_round1_Tryndamere_05-19-2021.mp4_18_0.jpg	Alistar	Dr._Mundo	Malphite	Vi	Graves	Xayah	Varus	Yasuo
Gragas_7sPb6vbP67U_round6_Lux_06-05-2021.mp4_28_2.jpg	Vi	Malphite	Gragas	Lucian	Twisted_Fate	Renekton	Xayah	Graves
Kennen_142330807963265_round5_Vayne_06-14-2021.mp4_25_0.jpg	Alistar	Orianna	Jax	Kennen	Singed	Xin_Zhao	Vi	Xayah
Ashe_216130339881960_round4_Ashe_04-26-2021.mp4_24_1.jpg	Vayne	Thresh	Janna	Rakan	Ashe	Camille	Nunu	Soraka
Akali_496418424743603_round3_Vayne_06-02-2021.mp4_81_2.jpg	Lucian	Akali	Twisted_Fate	Graves	Olaf	Alistar	Malphite	Xayah
Graves_1398331007194492_round4_Jarvan-IV_04-26-2021.mp4_38_6.jpg	Jarvan_IV	Alistar	Twisted_Fate	Vi	Malphite	Xayah	Graves	Lucian
Diana_-c47DWO9iuQ_round1_Ezreal_05-27-2021.mp4_112_2.jpg	Yasuo	Diana	Tristana	Dr._Mundo	Malphite	Gragas	Evelynn	Zed
Dr_630613568339321_round1_Dr.-Mundo_06-04-2021.mp4_32_3.jpg	Alistar	Lucian	KaiSa	Malphite	Jhin	Renekton	Xayah	Graves
Corki_eYYaXcjRjQo_round30_Camille_05-19-2021.mp4_10_1.jpg	Yasuo	Corki	Varus	Vi	Zed	Dr._Mundo	Ziggs	Malphite
Camille_9Aa4KRvaLFA_round5_Ziggs_05-19-2021.mp4_74_1.jpg	Evelynn	Singed	Camille	Xin_Zhao	Diana	Rengar	Vi	Tristana
Jhin_784269805810123_round2_Jhin_05-19-2021.mp4_29_1.jpg	Morgana	KaiSa	Caitlyn	Jhin	Twisted_Fate	Ahri	Lucian	Xayah
Amumu_142330807963265_round2_Amumu_06-14-2021.mp4_24_0.jpg	Blitzcrank	Tristana	Rengar	Jax	Xin_Zhao	Vi	Varus	Singed
Lulu_278220660753197_round6_Ahri_06-02-2021.mp4_3_4.jpg	Morgana	Lulu	Darius	Ahri	Thresh	Xayah	Yasuo	Vi
KaiSa_9Aa4KRvaLFA_round1_Tryndamere_05-19-2021.mp4_91_1.jpg	Lucian	Caitlyn	Xayah	Vi	KaiSa	Renekton	Graves	Alistar
Lux_224178806188439_round1_Shyvana_06-12-2021.mp4_4_4.jpg	Lux	Blitzcrank	Jinx	Xin_Zhao	Camille	Leona	Janna	Soraka
